opportunity_id,vertical,op_part
167886,custom,1
167919,custom,0.2184
167919,painting,0.7816
168016,custom,1
168072,parquet,1
168111,exterior_painting,1
168189,painting,0.3802
168189,wallpapering,0.6199
168190,painting,1
168267,custom,1
168325,painting,0.3977
168325,wallpapering,0.6023
168335,painting,1
168365,painting,1
168399,painting,1
168574,painting,1
168591,lacquering,1
168601,lacquering,1
168614,custom,0
168614,lacquering,4.16333634234434e-17
168614,painting,1
168637,lacquering,1.0001
168650,lacquering,-0.4351
168650,custom,0.0938
168650,painting,0.4969
168673,custom,0.1666
168673,wallpapering,0.3531
168673,painting,0.4803
168725,lacquering,1
168929,painting,0
168929,custom,0.2936
168929,floor_tiling,0.7064
169036,painting,0.3551
169036,wallpapering,0.645
169086,painting,1
169096,custom,0.1573
169096,lacquering,0.8429
169113,laminate,1
169151,painting,0.3603
169151,parquet,0.6397
169192,lacquering,2.77555756156289e-17
169192,painting,1
169193,laminate,1
169288,painting,1
169328,lacquering,0.1647
169328,wallpapering,0.8354
169347,wallpapering,0.2174
169347,painting,0.3477
169347,lacquering,0.4348
169361,painting,0.0536
169361,lacquering,0.9464
169426,lacquering,0
169426,painting,1
169470,lacquering,1
169488,painting,1
169521,custom,0
169544,paint_outside_items,0
169544,custom,0.2865
169544,lacquering,0.7134
169545,paint_outside_items,0.1932
169545,lacquering,0.8068
169573,painting,1
169687,painting,1
169727,carpet,1
169815,wallpapering,0.2468
169815,painting,0.7532
170000,painting,1
170001,paint_outside_items,0.1971
170001,custom,0.2015
170001,lacquering,0.6013
170276,painting,1
170286,lacquering,0.2352
170286,painting,0.7647
170396,wallpapering,0.4685
170396,painting,0.5315
170415,carpet,1
170648,custom,0.2449
170648,painting,0.7551
170678,painting,0.407
170678,wallpapering,0.593
170712,painting,1
170719,painting,1
170730,exterior_painting,0.1993
170730,lacquering,0.8007
170808,painting,0.1661
170808,plastering,0.8339
170883,carpet,1
171000,custom,0.0651
171000,lacquering,0.9348
171009,lacquering,1
171073,painting,1
171101,painting,0.3788
171101,parquet,0.6213
171102,painting,1
171131,lacquering,-2.77555756156289e-17
171131,painting,1
171148,wallpapering,1
171251,wallpapering,0.1925
171251,painting,0.8075
171309,custom,1
171338,custom,0.1183
171338,painting,0.8817
171549,painting,-3.46944695195361e-18
171549,custom,1.0001
171594,custom,0.9999
171604,constructional_plastering,1
171824,wallpapering,0
171824,painting,1
171902,painting,1.0001
171909,lacquering,0
171909,custom,0
171910,painting,1
171924,wallpapering,1
171933,wallpapering,0.1646
171933,painting,0.8354
171950,wall_tiling,0
171950,floor_tiling,0
171966,custom,0.1182
171966,scaffolding,0.1897
171966,exterior_painting,0.6921
172114,pvc,1
172260,lacquering,5.55111512312578e-17
172260,painting,1
172280,lacquering,1
172299,painting,1
172399,parquet,1
172530,parquet,0
172530,custom,1
172536,laminate,1
172546,painting,1
172568,parquet,0
172568,custom,1
172677,paint_outside_items,0.131
172677,lacquering,0.869
172702,laminate,1
172763,parquet,1
172914,painting,0.4147
172914,wallpapering,0.5853
172944,wallpapering,0
172944,custom,1
172976,painting,0.3277
172976,laminate,0.6724
173024,paint_outside_items,0.0956
173024,lacquering,0.9044
173045,laminate,1
173148,laminate,0.0829
173148,parquet,0.9171
173150,painting,0.3409
173150,custom,0.6591
173162,floor_tiling,1
173188,painting,1
173189,lacquering,0.9999
173284,scaffolding,0
173284,exterior_painting,0
173284,custom,0.1852
173284,painting,0.8148
173402,wallpapering,0.3237
173402,painting,0.6763
173403,lacquering,0.1761
